mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	WW	ZZ	γγ	tt	hh 
200	0.0748424917637856	0.002341911973361936	0.6798894944629572	0.31745195805090004	0.000292738996670242.	0.+0.	0.+0.
260	0.08289164600633062	0.002748852228532234	0.6354628345371651	0.3611781437008003	0.00034360652856652924	0.+0.	0.0002385051312151215
300	0.08383906292865688	0.003135910423885617	0.6301751862277114	0.35728282586493093	0.00039198880298570214	0.+0.	0.00898207634989881
350	0.08731067645744879	0.0035130918199989727	0.6184147352143582	0.3448619675025218	0.0004391364774998716	0.	0.032735202946990796
400	0.09934759277400619	0.003528510811058349	0.5645291819704685	0.3094273630530532	0.0004410638513822936	0.0652715442832327	0.05676631040764654
450	0.11921878357498183	0.0033079324853380263	0.4935295516964691	0.26653942168209643	0.0004134915606672533	0.163212977566256	0.0729628500674317
500	0.14329553129605874	0.0030579203341610487	0.43306026933182096	0.23107639249146034	0.0003822400417701311	0.24971833393978757	0.08267362069350354
550	0.1696008127967158	0.00284199670326359	0.38681622778514685	0.20440307173838285	0.00035524958790794875	0.3171190931755732	0.08843534191581569
600	0.19703389937797677	0.0026686960182666316	0.3522004268036844	0.18465594982209813	0.00033358700228332895	0.3681648991309064	0.09194919121683677
650	0.22498290203568017	0.0025319355803210216	0.3261065101733499	0.16988832085761305	0.0003164919475401277	0.4069571616791336	0.09417372588015002
700	0.25310748978599595	0.0024237166866976777	0.306119172943656	0.1586447582400901	0.0003029645858372097	0.4368490392769574	0.09563559916637383
750	0.2812196949645335	0.0023372455421368597	0.2905316719858566	0.1499176638572102	0.00029215569276710746	0.4602676887164924	0.09662970788334772
800	0.30921812536790483	0.002267325401695798	0.2781621777017708	0.14301853100044015	0.00028341567521197473	0.4789188042874608	0.09732659343012394
900	0.36469555202292286	0.002162722768965266	0.2600300284419047	0.13294832734981618	0.0002703403461206583	0.5063682053076488	0.09819829119075223
1000	0.41940213666380594	0.002089575997062125	0.24760630932823052	0.12607893374826087	0.0002611969996327656	0.5252524539638087	0.09869019214731996
1100	0.4733737441088561	0.0020364667742461475	0.23871403039326083	0.12117790074430533	0.00025455834678076843	0.5388080836840662	0.098988164455714
1200	0.5266958666221863	0.001996687713179806	0.23212309221977667	0.11755397679499165	0.00024958596414747575	0.5488770756338902	0.0991791921958919
1300	0.5794602756770363	0.001966113083291007	0.22709721190943513	0.11479567336095779	0.0002457641354113759	0.5565677039908674	0.09930745619445915
1400	0.6317506646147077	0.0019420979854342312	0.2231737951438571	0.11264554681721158	0.0002427622481792789	0.5625790167677752	0.09939694889568326
1500	0.6836389638734017	0.0019228847773476534	0.22005013790397887	0.1109356953055133	0.00024036059716845667	0.5673698430776551	0.09946144235555525
1600	0.7351855011589558	0.0019072685987582356	0.2175212410002599	0.10955271521564466	0.00023840857484477946	0.5712516704795332	0.09950921958341145
1700	0.7864403960832647	0.0018944010147896849	0.215444149151903	0.10841769799580363	0.0002368001268487106	0.5744421420393099	0.09954546449717595
1800	0.8374451957168412	0.001883670425561844	0.21371662932013388	0.10747431531156655	0.0002354588031952305	0.5770971557611422	0.09957353475983793
1900	0.8882343941753249	0.0018746268134950436	0.2122639525106775	0.10668145561611118	0.00023432835168688045	0.5793308222109986	0.09959567121074255
2000	0.9388367312752451	0.0018669330005843705	0.21103043636291363	0.10600852517377926	0.00023336662507304632	0.5812282648890769	0.09961340921364503
2500	1.1897674466316626	0.0018414788544819129	0.20696480536908055	0.10379262318163233	0.0002301848568102391	0.5874871753299156	0.09966492755238268
3000	1.4384281635841456	0.0018277714384545797	0.20478514049527263	0.102605948149462	0.00022847142980682246	0.5908458888947753	0.09968811468551785
3500	1.6857513518233243	0.001819547247756781	0.20348064946832398	0.1018961877814816	0.00022744340596959762	0.5928570949119691	0.09970049624465763
4000	1.932223765152301	0.0018142259787808385	0.20263791388919516	0.10143784175030165	0.00022677824734760482	0.5941568175346756	0.0997078959886925
4500	2.1781226874981	0.0018105852774673418	0.2020619221283911	0.1011246527052455	0.00022632315968341773	0.5950453453241238	0.09971268196476021
5000	2.4236171716839046	0.0018079848751037747	0.201650808621434	0.10090115453770737	0.00022599810938797184	0.595679628245177	0.09971596272035
6500	3.1585966050536234	0.0018034661777215034	0.20093700194424224	0.10051317966856908	0.00022543327221518793	0.5967811114023248	0.09972139077893295
