mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	6.500864470841617	13.5	-13.9	0.8	-2.4	13.52368293032634	-13.52368293032634
260	2.3547081810127812	14.2	-14.3	0.4	-1.5	14.20563268566381	-14.20563268566381
300	1.3522217053994505	14.8	-14.6	1.9	-2.7	14.921461054467825	-14.921461054467825
400	0.4140382364006953	16.8	-16.7	4.7	-4.9	17.445056606385663	-17.445056606385663
500	0.15615375631612646	18.9	-19.	6.8	-6.4	20.086064821163948	-20.086064821163948
600	0.06986483523014253	21.2	-21.5	8.4	-7.6	22.80350850198276	-22.80350850198276
700	0.03381642658451848	23.6	-23.9	9.7	-8.5	25.51568145278507	-25.51568145278507
750	0.024181497790902944	24.7	-24.8	10.2	-8.9	26.72321088492174	-26.72321088492174
800	0.017425716124381412	26.	-26.	10.8	-9.3	28.153862967628438	-28.153862967628438
900	0.009623463143589164	28.6	-28.3	11.7	-10.	30.900647242412255	-30.900647242412255
1000	0.00560406249270494	31.2	-30.4	12.6	-10.6	33.648179742743885	-33.648179742743885
1500	0.0005643063770761321	45.2	-41.2	15.8	-12.8	47.881938139553206	-47.881938139553206
1800	0.00017742695062828063	53.9	-47.5	17.3	-13.8	56.60830327787612	-56.60830327787612
2000	0.0000890174041234025	61.8	-53.8	18.3	-14.4	64.4525406791695	-64.4525406791695
2500	0.000018134141906767254	79.5	-68.2	20.3	-15.7	82.0508378994389	-82.0508378994389
3000	4.26933786427298e-6	101.2	-86.1	22.2	-16.9	103.60637046050789	-103.60637046050789
3500	1.062128080421422e-6	126.5	-106.8	23.9	-18.	128.737950892501	-128.737950892501
4500	7.996346515929423e-8	193.6	-161.2	27.4	-20.	195.52933283781235	-195.52933283781235
5000	2.19595670367229e-8	236.6	-204.9	28.9	-20.8	238.35849051376374	-238.35849051376374
6000	1.5758799884971186e-9	340.3	-346.3	31.7	-22.2	341.7732874289622	-341.7732874289622
6500	3.9910389191186095e-10	412.7	-482.3	32.6	-22.7	413.9855673812796	-413.9855673812796
