mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)
200	1.14E+01	10.8	-10.2	11.2	-7.7
260	3.40E+00	11.8	-11.3	7.8	-5.3
300	1.78E+00	12.7	-12.2	6.6	-4.5
400	4.83E-01	15.0	-15.0	4.0	-2.9
500	1.75E-01	17.3	-17.5	3.1	-2.6
600	7.35E-02	19.5	-19.8	2.1	-1.7
700	3.50E-02	22.2	-22.5	2.7	-1.9
750	2.49E-02	23.4	-23.5	1.7	-1.3
800	1.82E-02	24.4	-24.6	1.8	-1.4
900	9.80E-03	27.2	-26.9	1.9	-1.5
1000	5.67E-03	29.6	-29.0	1.9	-1.5
1050	4.30E-03	30.8	-30.0	1.9	-1.5
1100	3.30E-03	32.0	-31.1	1.9	-1.6
1150	2.57E-03	33.3	-32.2	1.9	-1.6
1200	2.01E-03	34.6	-33.3	1.9	-1.7
1250	1.58E-03	36.0	-34.4	1.9	-1.7
1300	1.25E-03	37.4	-35.5	1.9	-1.8
1350	9.96E-04	38.9	-36.6	1.9	-1.9
1400	8.48E-04	40.3	-37.7	1.9	-1.9
1450	6.80E-04	41.8	-38.8	1.8	-2.0
1500	5.73E-04	43.3	-39.9	1.8	-2.0
1600	3.78E-04	46.3	-42.1	1.7	-2.0
1700	2.55E-04	49.3	-44.4	1.6	-2.1
1800	1.78E-04	52.5	-46.8	1.6	-2.1
1900	1.23E-04	55.9	-49.4	1.6	-2.2
2000	9.06E-05	59.4	-52.1	1.6	-2.3
2100	6.39E-05	63.0	-54.9	1.5	-2.4
2200	4.54E-05	66.6	-57.8	1.4	-2.4
2300	3.26E-05	70.2	-60.8	1.3	-2.5
2400	2.37E-05	74.0	-63.9	1.2	-2.6
2500	1.87E-05	78.0	-67.2	1.2	-2.7
2600	1.36E-05	82.1	-70.6	1.3	-2.9
2700	1.00E-05	86.5	-74.2	1.4	-3.0
2800	7.44E-06	91.0	-78.0	1.5	-3.2
2900	5.55E-06	95.7	-81.9	1.7	-3.4
3000	4.41E-06	100.5	-85.9	1.8	-3.6
3100	3.31E-06	105.5	-90.0	1.9	-3.7
3200	2.51E-06	110.7	-94.3	1.9	-3.8
3300	1.88E-06	116.1	-98.7	1.8	-3.9
3400	1.43E-06	121.7	-103.3	1.8	-4.0
3500	1.15E-06	127.5	-108.0	1.7	-4.1
3600	8.78E-07	133.5	-112.9	1.7	-4.2
3700	6.69E-07	139.8	-118.0	1.6	-4.3
3800	5.10E-07	146.3	-123.3	1.6	-4.4
3900	4.03E-07	153.1	-128.8	1.6	-4.5
4000	3.08E-07	160.1	-134.5	1.6	-4.7
4100	2.36E-07	167.3	-140.3	1.7	-4.8
4200	1.89E-07	174.8	-146.4	1.7	-5.0
4300	1.45E-07	182.6	-152.7	1.8	-5.1
4400	1.13E-07	190.6	-159.1	1.9	-5.3
4500	8.93E-08	198.9	-165.8	2.0	-5.5
5000	2.49E-08	244.8	-205.6	2.7	-6.4
6000	1.83E-09	372.0	-374.9	3.5	-7.5
6500	4.61E-10	464.0	-536.9	4.4	-8.2
