mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	3.26577350850834	13.1	-12.6	6.8	-4.4	14.759742545180115	-14.759742545180115
260	1.0194140063194699	15.2	-15.2	4.1	-2.8	15.74325252290644	-15.74325252290644
300	0.5167096909951049	16.9	-17.1	3.4	-2.6	17.23861943428185	-17.23861943428185
400	0.13585837315603874	21.1	-21.4	2.8	-1.9	21.284971223847123	-21.284971223847123
500	0.045499973823147195	24.7	-24.9	2.2	-1.4	24.797782158894773	-24.797782158894773
600	0.01821246651213018	28.8	-28.4	1.3	-1.2	28.829325347638644	-28.829325347638644
700	0.007724507579932248	32.9	-31.7	2.8	-2.1	33.01893396219811	-33.01893396219811
750	0.005437897598845678	35.3	-33.8	1.7	-1.6	35.34091113709435	-35.34091113709435
800	0.003696049709715026	37.5	-35.5	2.	-1.7	37.5532954612508	-37.5532954612508
900	0.0018586795910769211	41.7	-38.8	1.9	-1.8	41.743262929483606	-41.743262929483606
1000	0.0009919190612087743	46.7	-42.6	2.2	-2.4	46.75179140952783	-46.75179140952783
1500	0.00006557431391921969	76.4	-66.	1.8	-3.1	76.42120124677444	-76.42120124677444
1800	0.00001622086955289831	97.5	-83.5	1.5	-3.6	97.51153777887005	-97.51153777887005
2000	6.612096034149783e-6	114.4	-97.6	1.6	-4.	114.41118826408544	-114.41118826408544
2500	8.059092815037743e-7	167.7	-140.8	2.4	-5.4	167.7171726449024	-167.7171726449024
3000	1.048894913424887e-7	240.1	-200.4	2.6	-6.5	240.11407705505314	-240.11407705505314
3500	1.3210695354255776e-8	340.2	-310.5	3.4	-7.8	340.21698958164916	-340.21698958164916
4500	1.3470000064021157e-10	753.	-1015.6	4.9	-9.3	753.0159427263144	-753.0159427263144
