mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	0.010581898800009879	11.817173210332326	14.136002541101425	52.14226024501042	55.301785269405336
260	0.005702807676466848	10.326693366561297	12.425978201291272	35.8601348750185	39.331854817697895
300	0.0040636107639007045	9.531526577871245	11.483522882386087	28.299225053458184	31.993240462966956
400	0.00204809363567872	8.050086817378647	9.684710998380803	16.41507852681108	20.689425509928153
500	0.0011979362338853073	6.965590553263675	8.327583916885779	10.284420651401938	14.954511485952104
600	0.0007704175616232926	6.116418247463367	7.2405477897802	6.754656527411276	11.638792432090778
700	0.0005292962549227049	5.439531896312481	6.356013244138674	4.635967906073981	9.564497375022645
750	0.0004469471723580258	5.148017294164791	5.964692725314455	3.873269929915095	8.7796276298271
800	0.00038121779320022603	4.874442319820389	5.592580369169308	3.2821390694616204	8.112310397547686
900	0.00028491742772674073	4.3931054641062826	4.936695045604469	2.3075604045918476	6.999654892414073
1000	0.00021927855924580526	4.00274126295309	4.362280155751734	1.6488107862555497	6.145730451645705
1500	0.0000785795035992703	2.7554161045032255	2.2400622163961654	0.3099143123762551	3.5645818160475815
1800	0.000049009226798368346	2.43047464191863	1.3552326596641482	0.08104521144460237	2.7839595674377082
2000	0.000037183372318284045	2.3635534075666276	0.9265365511235659	0.024770577211762058	2.5387926800909075
2500	0.000020519690167519175	2.51733465903212	0.8609165539567566	0.02392808283941727	2.66058708776644
3000	0.000012494375075785967	2.8245268869213898	1.5959207224760261	0.07594983779184095	3.24510145684705
3500	8.139039929650121e-6	3.2602824665333117	2.3056542879672346	0.15093257756924403	3.9960310434452238
4500	3.9729463282863344e-6	4.048803606052666	3.500723251426336	0.2638087135712485	5.358868253728409
5000	2.9170323967787036e-6	4.438528805865536	4.000441912772684	0.30979509746287753	5.983314003157325
6000	1.6869626339754586e-6	5.16986641717193	4.875086394481372	0.3939496512977471	7.116823902051891
6500	1.318667448371013e-6	5.4842527588442325	5.27230026709328	0.4226253860564021	7.61923819329871
7000	1.0469076982352444e-6	5.821861032864284	5.642274767091363	0.44813717270417364	8.11973874942407
10000	3.2603638738686387e-7	7.721481206350169	7.548033764076726	0.5795942597053845	10.813418295319225
12500	1.4899776354454076e-7	9.313884230192489	8.89928276261385	0.660691096239028	12.898921887779375
15000	7.576001412294697e-8	11.055286325176313	10.173850907307706	0.7254574518574194	15.041704907696191
30000	3.8566584731038184e-9	24.480200932936526	17.904133500578563	0.887695153286994	30.3418232281558
40000	8.490890790702084e-10	36.39260207883283	24.172965202696297	0.7643513258921985	43.695971962051914
50000	2.2303625725449555e-10	50.55194634695073	31.49488020284591	0.6175490403814152	59.56347979486991
