mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	0.0015022877748994356	2.8372877132073775	1.4665218695050652	3.1938828972356177
260	0.00075406315042001	2.924797340972185	0.9868668522151292	3.0868018513923046
300	0.0005124057143226429	3.3531843714581235	1.8698748696735583	3.8393068980256997
400	0.00023044251730458927	4.533516883630873	3.8542056262936435	5.950434970984874
500	0.00012069716133024957	5.643050660185617	5.401231820389361	7.811358776231438
600	0.00006972480327808038	6.678356607682151	6.681485703798155	9.44683535314504
700	0.00004312482231767889	7.616676736900302	7.760042596210109	10.873455090698336
750	0.000034590564606394264	8.064918785415648	8.238347897439388	11.528802673937749
800	0.000028053631000033095	8.450253019457875	8.70463055232019	12.131668028150253
900	0.000018975241379137453	9.35791761714788	9.546714485184706	13.368260155718174
1000	0.000013235198449958648	10.159790469413778	10.321748585261709	14.483087938687078
1500	2.97650253157793e-6	14.507561399400782	13.589356619933621	19.878127454594846
1800	1.4259325989746504e-6	17.40821330020228	15.299849546042763	23.176092993360303
2000	9.119978982613281e-7	19.463745423437658	16.404589493341764	25.45482159343195
2500	3.319144237696302e-7	24.9539970269364	19.118380788596017	31.43587841301891
3000	1.3413894100934754e-7	31.02660031168191	21.98979831477736	38.02895156095479
3500	5.8210827488983655e-8	37.321231054975954	24.959080562893636	44.89799538959303
4500	1.3066838316233729e-8	54.37520395404369	32.2050227331289	63.19672692699518
5000	6.654797443137219e-9	67.06920651506255	36.32184392534301	76.27289694706164
6000	1.7305484075990375e-9	157.84369493805647	51.48720684144266	166.02880623564013
6500	4.713661766981553e-10	279.29861804784747	58.26454470511627	285.3111901295354
