mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	1.4104873553605886	2.7379400692277565	3.587147454966519	0.0006206322138017149	4.51264258185157
260	0.277435763573667	3.0942268368483266	3.7773413756322136	0.0012893177896438788	4.882883292510258
300	0.11371275972250622	2.854761263232368	4.021335443102081	0.00046924117995973176	4.9316123971971235
400	0.018344922630145515	3.362356036483491	4.669225467062909	0.00011925245401195062	5.75387735293054
500	0.004252450003194108	3.7938138798442065	5.182963732160194	0.00003490629714117541	6.4230940211867456
600	0.0012603739256372066	3.7391839066470376	5.668641329461359	0.000012554985848797674	6.790801926868673
700	0.0004376914116201495	4.700614245022261	6.052976634730073	6.71003302660348e-6	7.6638306623476105
750	0.00027144983555357744	4.405606620055391	6.264714258027223	3.460637156394641e-6	7.658721461537652
800	0.00017176668547374844	4.939775292341904	6.457032168914847	3.0168237090067106e-6	8.129861276137609
900	0.00007388643702699061	5.986789822744553	6.749799737481019	1.612052655284655e-6	9.022275149751264
1000	0.00003422008511607912	5.266977171607493	7.137899393999389	7.013063960646812e-7	8.870775404951464
1500	1.4590821982358273e-6	8.249344278117334	8.447298293728968	5.916884758789155e-8	11.80713892025259
1800	3.1105920753967245e-7	13.09474710753463	9.121437936049453	2.3340107562205503e-8	15.958478368299675
2000	1.2229125894435696e-7	13.24117192413368	9.558561463000277	9.115213113617268e-9	16.33079089225075
2500	1.4517664616126219e-8	23.849074031108294	10.60731975165516	2.402389595974552e-9	26.101600802539636
3000	2.125118979939358e-9	44.09979780669272	11.80158445504067	8.276051495126958e-10	45.651610729969185
3500	3.5472793665582836e-10	82.5190336175541	13.40827725536343	4.345926055260781e-10	83.6012727662188
4500	1.2267271186308372e-11	242.55742935691777	23.289490690002484	1.1529444194423525e-10	243.67295072050132
5000	2.578320092718567e-12	395.2156646410727	31.48923910229121	5.6770024204795776e-11	396.46814973831897
6000	1.6503235549601753e-13	702.3214906341892	42.8213388098564	8.739755568521123e-12	703.625712480789
6500	5.048243501411848e-14	769.0581359185213	42.333592817642604	2.7158106609704715e-12	770.2224026236322
