mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	0.8210710096010522	1.5746328820236215	3.186494449993364	0.0005298491374434974	3.5543235465737553
260	0.1820612121107634	1.659784810760941	3.717764902162778	0.00008975159298310686	4.071444644575375
300	0.0811016247549775	1.7875313330444775	4.1005847991669775	0.00003986777726888623	4.473260998797687
350	0.034626160100658866	1.8995095781292013	4.604361234000109	0.000013006473181546421	4.980791002515239
400	0.016866572618881227	1.826124381522037	5.094790192281031	7.4540312793394e-6	5.412173071900767
450	0.009037139363388841	1.862929221169167	5.49969734903588	5.671484963215084e-6	5.806649310412194
500	0.00520368320267879	1.889948206181782	6.0130921193683315	2.688449822320722e-6	6.30310884072824
550	0.003183971831846312	2.048705617839838	6.556758808766803	1.2097174143303667e-6	6.869372663126599
600	0.0020471256716778834	1.9957679200627108	6.9426005156424715	4.262261609974533e-6	7.223765743057338
650	0.0013473323617774352	2.031177737954036	7.336645568018489	4.782355628251082e-7	7.612624461635136
700	0.0009244057766728091	2.0566652323400962	7.764083560437879	3.8492344061066165e-7	8.031865624584267
750	0.0006533102564936731	2.0790545519205645	8.23716963445604	5.269726268956976e-7	8.495494771740287
800	0.0004692653429765605	2.140743444189088	8.658111457821564	1.5371411077355302e-7	8.91883829374093
900	0.0002566602578950415	2.2463912073699093	9.339809966630744	9.408994352419492e-8	9.606160714318902
1000	0.00014950003875607287	2.7649362071541823	10.082829706397742	1.289220191293125e-7	10.455062272308519
1100	0.00008883678814125132	2.4210030818720965	10.616165346799606	2.9126941703952212e-8	10.888719970364882
1200	0.00005550607520578741	2.429267386713925	11.312358453779959	2.5403490630375382e-8	11.570254700003748
1300	0.00003583945967548427	2.473511233088623	11.799452700126466	3.936183648988164e-8	12.055925590461205
1400	0.000023614201722964794	2.4411774721790898	12.301731768855532	1.864244741873711e-8	12.541608826763184
1500	0.000015873336912965698	2.6810472891665826	13.015409008256091	7.202510701998909e-9	13.288675111497808
1600	0.000010856525756024858	2.7318381892519725	13.449741586498751	1.0704408576246904e-8	13.724375710240864
1700	7.529515215160556e-6	2.7424267931953428	13.765850661054694	6.995325982073323e-9	14.036365239565962
1800	5.292697631097421e-6	2.7858024783889856	14.304696676712824	1.5446083446455447e-8	14.573436192653988
1900	3.732630714606427e-6	2.846593420917029	14.899200844383353	7.470655522334183e-9	15.168694073824607
2000	2.6701687536688616e-6	2.9396599653436617	15.219662315274604	6.356146654227103e-9	15.500958734956821
2500	5.644937243234136e-7	8.485582983066305	17.693399846901134	1.2064593467156715e-8	19.622984398526782
3000	1.3590100524856355e-7	4.718781826159325	20.237398851872427	1.2713849596419834e-9	20.7802602056052
3500	3.640205626367101e-8	6.126552824137912	21.9208607854724	4.898684012407059e-10	22.760904794911248
4000	1.0087551650645175e-8	8.093731616467647	24.147099642725582	1.8408663934434925e-10	25.467448098212074
4500	2.869301295949549e-9	10.19227425378787	26.529184289290896	7.222224937642256e-11	28.41971276279171
5000	8.244707270474407e-10	12.34439307077295	29.17522951231139	3.005668755018791e-11	31.67930014034074
6500	1.980915386219711e-11	22.392693461766086	36.48159629429175	1.832968335153165e-12	42.80583591815844
