mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	59049.62027775	1.599142446160394	2.864164106119064	0.0008916295680251043	3.2803495827268097
260	12956.229976553252	1.622096538389338	3.506245214542403	0.00013414925820999095	3.863282632988713
300	5751.4409876	1.8152929141680998	3.838352905945566	0.00005254949010198215	4.245967663274314
400	1154.6973021375002	1.7744745150918844	4.7471960938069335	0.000011919578908522349	5.068000646991718
700	61.89695031306123	1.8845170031334653	5.694399884827301	3.312649541852693e-6	5.998132574679496
750	43.982056248000006	2.0025428552018565	6.50833108117724	1.2807074358486765e-6	6.809445744635855
800	32.19145113375001	2.1321440876364983	7.404296658578213	4.702104375594061e-7	7.705170174543584
900	18.348675058888887	2.065381870878343	7.794453315804891	5.108043630328989e-7	8.063454890108524
1000	11.247610843619999	2.107962904958501	8.110774505920288	1.9347875335204e-7	8.380224978756097
1500	1.7130282744400003	2.2260090943207524	8.88403117097759	8.775810640540924e-8	9.158664003821745
1800	0.7099869840833333	2.3309106256661813	9.412049015229055	8.683886771009796e-8	9.6963813358344
2000	0.41619336524999995	4.787146842457879	12.288766608553896	1.4489987404578197e-7	13.188273565966233
2500	0.12165747269471996	2.6261748850353577	13.728720028301607	1.1687930531559064e-8	13.977644584917739
3000	0.039201461738	3.0214097390113173	14.542995796334694	3.4391522825179976e-9	14.853539764756446
3500	0.013262362045714286	3.2352906901480156	16.863973080215604	2.119140393524376e-9	17.171508201086912
4500	0.0016068443450222218	4.010505039172028	18.883691005248366	1.1981418060269462e-9	19.304868211177258
5000	0.0005575736903399999	4.956253597228351	20.823882466506184	5.539005523224117e-10	21.405572421659333
6000	0.00006682087344750001	9.926410693925206	24.53422846527622	1.526872304569077e-10	26.4662425676718
6500	0.000022954717567171593	10.069484262975777	26.922743271640837	5.1604410369901594e-11	28.74419278033389
7000	8.200953897612245e-6	17.71224758576012	31.298640329404076	1.0558094047157299e-11	35.962878096846815
