mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	qq	WW	ll(e+mu+tau)	ZZ	gamgam	tt	hh
200	1.894218343020833	0.49300081024398074	0.15332641656935192	0.14846226399687237	0.09199584994161115	0.060867915289228275	0.06162510128049759	0.	0.
260	2.5103803719127504	0.48359465555005504	0.150695695795551	0.14911685998599558	0.09041741747733059	0.07521664199467668	0.06044933194375688	0.	7.875333606243e-6
300	2.8859480356974023	0.48537837462964506	0.1513582900468174	0.14649859492719147	0.09081497402809043	0.07469394443823439	0.06067229682870563	0.	0.0002609363907507743
350	3.351550290574848	0.4876070533389467	0.1521391735109679	0.14371474129645587	0.09128350410658073	0.07328949992668987	0.06095088166736834	0.	0.0008527793007645482
400	3.8238561586466635	0.48843426067511353	0.1524531354809659	0.14141497086275018	0.09147188128857954	0.0719304251767572	0.06105428258438919	0.001695819751618515	0.0014748453016228675
450	4.303635075739956	0.4882303246604532	0.15242777246440356	0.13951721074317788	0.09145666347864215	0.07077381148970963	0.06102879058255665	0.004521306362332375	0.00202120813640487
500	4.787687628560061	0.4876316346943594	0.15226821770130147	0.1379969371883721	0.09136093062078088	0.06984156281777044	0.06095395433679492	0.007474071851055721	0.002474422167974112
550	5.274154324512369	0.486919908137161	0.15206618832392244	0.13678397926335523	0.09123971299435346	0.0690982031414136	0.06086498851714513	0.010197588588935977	0.0028438124760910453
600	5.76195246642807	0.48621600924132113	0.15186171301322493	0.13581134091364372	0.09111702780793496	0.06850359281566482	0.06077700115516514	0.012589650142468342	0.0031442653849825413
650	6.250456380380763	0.4855671559701419	0.15167098781164992	0.13502464160815508	0.09100259268698996	0.0680240172999253	0.060695894496267735	0.01464827488856061	0.00338974898065573
700	6.739303367402993	0.4849876826168906	0.15149944249508174	0.13438202742595384	0.09089966549704903	0.06763333850344726	0.06062346032711133	0.0164067052214364	0.0035917787224510177
750	7.22828263841203	0.4844777234458545	0.151347765021729	0.13385183055997185	0.09080865901303739	0.0673117897560992	0.06055971543073181	0.01790692831171838	0.003759423688146883
800	7.71727219289653	0.48403174310625324	0.151214676485924	0.13341014055879905	0.0907288058915544	0.06704449099329272	0.060503967888281655	0.01918947150801794	0.0038997130095538993
900	8.695035768212453	0.48330224423690804	0.15099625680307596	0.13272400014490746	0.09059775408184559	0.0666303374283415	0.060412780529613505	0.021238582230639253	0.004118727164348575
1000	9.672345405903425	0.48274288122419307	0.15082827090345374	0.13222343593938748	0.09049696254207225	0.06632905554359261	0.06034286015302413	0.02277544817060354	0.00427930100894505
1100	10.649158807083124	0.4823086566207741	0.15069760909235355	0.131847879251286	0.09041856545541213	0.06610350201413004	0.06028858207759676	0.023950962188675092	0.0044001971310351174
1200	11.6255060747466	0.4819667231090255	0.1505945776795742	0.13155930138280894	0.09035674660774454	0.06593047576935084	0.06024584038862819	0.024866985158437015	0.0044933330427632395
1300	12.6014390585394	0.4816936088073571	0.1505122010555636	0.1313329752116509	0.09030732063333816	0.06579495231948347	0.06021170110091964	0.02559301947097337	0.0045665201947099185
1400	13.57701212171132	0.4814725203614251	0.1504454665555453	0.13115231104515232	0.09026727993332717	0.0656868841734061	0.06018406504517814	0.02617731092491159	0.004625030011213333
1500	14.552275238833898	0.48129132518547274	0.1503907419921885	0.13100586592393285	0.0902344451953131	0.06559935893649156	0.06016141564818409	0.026653985393263076	0.004672514523079794
1600	15.527272012722566	0.48114114423865967	0.15034536357426176	0.13088555133591642	0.09020721814455705	0.06552750085127242	0.06014264302983246	0.027047632404795317	0.004711563976558389
1700	16.502039618125195	0.48101538935416777	0.15030735166819065	0.1307855246309112	0.0901844110009144	0.06546779406643831	0.06012692366927097	0.02737628294238933	0.004744054452606252
1800	17.47660943705463	0.4809091048962062	0.15027521537538838	0.13070148335818893	0.09016512922523302	0.06541765327855358	0.060113638112025775	0.027653375346898608	0.004771370476951255
1900	18.451007876278858	0.48081851405766485	0.1502478173542434	0.13063020428833838	0.09014869041254603	0.06537514401426232	0.060102314257208106	0.02788907605178793	0.004794551130948838
2000	19.42525716454694	0.4807407026727317	0.15022427935750693	0.1305692351528377	0.09013456761450417	0.06533879600711624	0.060092587834091465	0.028091182511043485	0.004814388129080045
2500	24.294831999185142	0.48047830600331126	0.15014487136879479	0.13036532303803017	0.09008692282127688	0.06521731448413955	0.06005978825041391	0.02877044453505853	0.004880794663519596
3000	29.162571331994897	0.48033376442892706	0.15010110840747232	0.13025407754119128	0.0900606650444834	0.06515109475152148	0.06004172055361588	0.02914315604233847	0.004917062700192498
3500	34.029222707838585	0.4802459272535917	0.15007450683151555	0.1301868377445514	0.09004470409890933	0.06511108871210751	0.060030740906698965	0.02936915890693231	0.004938997512957388
4000	38.89517975456954	0.4801886422846879	0.15005715520238777	0.13014313131828367	0.09003429312143267	0.06508509212767734	0.060023580285585985	0.029516354733722078	0.004953260723266135
4500	43.76066780248266	0.4801492426332279	0.15004521976242913	0.1301131367091213	0.09002713185745748	0.0650672548341389	0.060018655329153486	0.02961750429839385	0.004963051656318766
5000	48.625824648608045	0.480120997760299	0.15003666283311282	0.1300916669678932	0.09002199769986768	0.065054488888452	0.06001512472003737	0.02968997207286689	0.004970061099970474
6500	63.22006190544164	0.48007171088766	0.15002172985944381	0.13005426781491283	0.09001303791566628	0.06503225477790427	0.0600089638609575	0.02981633892188994	0.004982273614927475
