mG(GeV)	Gamma[ktilda=0.1](GeV)	gluglu	qq	WW	ll(e+mu+tau)	ZZ	gamgam	tt	hh
200	0.005102120251947017	0.002341911973361936	0.00001552239664344545	0.6798894944629572	9.31343798606727*^-6	0.31745195805090004	0.000292738996670242	0.	0.
260	0.009549924108194805	0.002748852228532234	0.000018255326565863785	0.6354628345371651	0.000010953195939518271	0.3611781437008003	0.00034360652856652924	0.	0.0002385051312151215
300	0.01285971624249112	0.003135910423885617	0.00002084050773414951	0.6301751862277114	0.000012504304640489705	0.35728282586493093	0.00039198880298570214	0.	0.00898207634989881
400	0.025322422805479642	0.0037749046682788966	0.000025110484178922353	0.603949926331896	0.00001506629050735341	0.3310344958052855	0.00047186308353486207	0.	0.06073026883953915
500	0.04580780169260743	0.004075696465060151	0.000027123022344538574	0.577196923397921	0.000016273813406723143	0.3079861909792631	0.0005094620581325189	0.	0.11019011183843684
600	0.07638176026784785	0.004223722320263342	0.000028114687185207862	0.5574245975243068	0.00001686881231112472	0.2922533894810569	0.0005279652900329177	0.	0.14552719703346648
700	0.11903327065969302	0.004303848977875864	0.000028652083384187666	0.5435827944795165	0.000017191250030512603	0.2817091140826652	0.000537981122234483	0.	0.16982231379590484
750	0.14550875954771406	0.0043303791403164	0.000028830155071537154	0.5382884550583219	0.000017298093042922294	0.277762996068735	0.00054129739253955	0.	0.17903265352700107
800	0.1757489660467495	0.0043511940564184065	0.000028969927634734228	0.5338173397744759	0.000017381956580840538	0.2744649628065604	0.0005438992570523008	0.	0.1867781724440029
900	0.24851984315069375	0.004381246897423112	0.000029171848821705594	0.5267692057882225	0.000017503109293023353	0.269326912851459	0.000547655862177889	0.	0.19893023959680894
1000	0.33934060356174833	0.0044014466520335225	0.000029307661949183173	0.5215536370763142	0.000017584597169509907	0.2655704801445135	0.0005501808315041903	0.	0.20787930969062138
1500	1.134144981035137	0.004444638790385579	0.000029598411056922858	0.5086333774542604	0.000017759046634153716	0.25642154974745734	0.0005555798487981974	0.	0.22989946670178185
1800	1.9556200102385561	0.004454144613172515	0.000029662484876021192	0.5053563300213358	0.000017797490925612715	0.25413476588221867	0.0005567680766465643	0.	0.2354525066840133
2000	2.680216559810224	0.004458116066715586	0.000029689266189205806	0.5039271246590136	0.000017813559713523485	0.25314154773530734	0.0005572645083394482	0.	0.23787042166840527
2500	5.227836721211002	0.004464052374504169	0.000029729311865705992	0.5017172630562573	0.000017837587119423597	0.2516106578374686	0.0005580065468130211	0.	0.24160443407327206
3000	9.02734555750589	0.004467195584366305	0.000029750523199395922	0.5005085735105979	0.000017850313919637552	0.2507757966119378	0.0005583994480457881	0.	0.24364441656527916
3500	14.329100780066053	0.004469062889265786	0.000029763127002856995	0.49977697492807394	0.0000178578762017142	0.25027130893868826	0.0005586328611582233	0.	0.2448783829920867
4500	30.440811249205915	0.004471081531132234	0.000029776754628278737	0.4989741932713936	0.00001786605277696724	0.2497184599253099	0.0005588851913915292	0.	0.24623172202964247
5000	41.751503003233424	0.004471664060004684	0.000029780687680978876	0.4987401642569562	0.000017868412608587324	0.24955743412031964	0.0005589580075005855	0.	0.2466261155419026
6000	72.13440846929348	0.004472419647575611	0.000029785789489654594	0.4984349937972989	0.000017871473693792753	0.24934755496945057	0.0005590524559469514	0.	0.24714030738288884
6500	91.70736316819125	0.004472672855167187	0.00002978749925576652	0.49833231434932534	0.000017872499553459913	0.24927696224285614	0.0005590841068958983	0.	0.24731329210728825
7000	114.53514689777309	0.004472873472796862	0.000029788853941109658	0.4982508125668311	0.000017873312364665793	0.24922093804115905	0.0005591091840996078	0.	0.2474505903432788
10000	333.8740381503344	0.004473512141645973	0.00002979316677274294	0.49799047046351574	0.00001787590006364576	0.2490420311351991	0.0005591890177057467	0.	0.24788911431313346
12500	652.065621785681	0.004473732426065645	0.000029794654380815336	0.4979003623974141	0.0000178767926284892	0.24898012732368843	0.0005592165532582056	0.	0.24804087611608175
15000	1126.7392907680166	0.004473851953093686	0.000029795461575003976	0.4978514018176558	0.000017877276945002384	0.24894649560047408	0.0005592314941367107	0.	0.2481233327277414
30000	9013.504288206104	0.004474055475383268	0.000029796836030614797	0.4977679252148944	0.00001787810161836888	0.24888916075634357	0.0005592569344229085	0.	0.24826391312892113
40000	21365.20187299341	0.0044740851328611535	0.00002979703631998404	0.49775574932526145	0.000017878221791990427	0.2488807985783689	0.0005592606416076442	0.	0.24828441752830885
50000	41728.78189629775	0.004474098858066612	0.000029797129012241563	0.49775011343663306	0.00001787827740734494	0.2488769280116446	0.0005592623572583265	0.	0.24829390840232152
