mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	38322.501249999994	12.9	-13.5	1.1	-2.6	12.946814279968644	-12.946814279968644
260	14191.509763313607	13.4	-13.5	0.2	-1.2	13.401492454200763	-13.401492454200763
300	8010.849277777777	13.9	-13.7	1.6	-2.3	13.991783303067555	-13.991783303067555
400	2454.2903312499993	15.4	-15.3	4.3	-4.4	15.989058759038945	-15.989058759038945
500	949.3712079999999	17.1	-17.2	6.2	-5.9	18.189282558693733	-18.189282558693733
600	413.98895555555555	18.9	-19.	7.6	-6.9	20.370812453115363	-20.370812453115363
700	201.26329530612244	20.7	-20.9	8.7	-7.8	22.453952881397075	-22.453952881397075
750	146.71507804444445	21.4	-21.6	9.2	-8.1	23.293775992741065	-23.293775992741065
800	106.80792812499998	22.4	-22.5	9.7	-8.4	24.410038918445007	-24.410038918445007
900	60.01572172839505	24.	-23.9	10.5	-9.	26.196373794859472	-26.196373794859472
1000	35.3667179	26.1	-25.6	11.2	-9.5	28.401584462842912	-28.401584462842912
1500	3.9019274	33.6	-30.7	13.5	-11.1	36.210633797270106	-36.210633797270106
1800	1.3292558765432096	37.9	-33.6	14.4	-11.7	40.543433500383266	-40.543433500383266
2000	0.6931055249999999	40.7	-35.6	15.	-12.1	43.37614551801486	-43.37614551801486
2500	0.15786083424	47.7	-41.8	16.2	-12.9	50.37588708896351	-50.37588708896351
3000	0.04095882855555555	55.9	-49.1	17.2	-13.6	58.486323187562405	-58.486323187562405
3500	0.011794993061224487	65.3	-56.	18.1	-14.2	67.76208379322465	-67.76208379322465
4500	0.0010677510419753085	103.9	-79.8	19.9	-15.4	105.78856270882973	-105.78856270882973
5000	0.0003243587168	147.1	-102.7	20.7	-15.9	148.54931840974567	-148.54931840974567
6000	0.00002993270538888889	375.4	-231.1	21.8	-16.6	376.03244540863756	-376.03244540863756
6500	9.186724118343193e-6	633.7	-406.	21.9	-16.7	634.0783074668302	-634.0783074668302
