mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	8.719927605e6	15.3	-16.4	3.7	-2.3	15.741029191256843	-15.741029191256843
260	3.6871885917159757e6	14.2	-15.2	4.3	-3.1	14.836778626103444	-14.836778626103444
300	2.26781194e6	13.5	-14.6	3.7	-2.5	13.997856978837868	-13.997856978837868
400	865556.7806250001	12.3	-13.2	3.7	-2.2	12.844454056128662	-12.844454056128662
500	398489.46984	11.6	-12.4	3.6	-2.3	12.145781160551183	-12.145781160551183
600	210755.42075000002	11.1	-11.9	3.2	-1.7	11.552056094046634	-11.552056094046634
700	120030.51948979593	10.8	-11.6	2.9	-1.7	11.182575731914362	-11.182575731914362
750	93740.13856	10.8	-11.5	2.6	-1.3	11.108555261599054	-11.108555261599054
800	73518.6931875	10.7	-11.3	2.8	-1.5	11.060289327137875	-11.060289327137875
900	47771.717666666664	10.6	-11.2	2.3	-1.2	10.846658471621572	-10.846658471621572
1000	32014.87425	10.7	-11.2	2.	-0.9	10.885311203635842	-10.885311203635842
1500	6647.94548	11.4	-11.3	1.5	-0.7	11.498260738042081	-11.498260738042081
1800	3202.7098333333333	12.	-11.6	1.4	-0.8	12.081390648431166	-12.081390648431166
2000	2082.6170775	12.4	-12.	1.4	-0.7	12.4787819918452	-12.4787819918452
2500	812.3988873599998	13.6	-13.3	1.8	-1.	13.718600511714014	-13.718600511714014
3000	371.563237	14.6	-14.5	0.8	-0.3	14.62190138114739	-14.62190138114739
3500	186.98357020408164	15.9	-15.9	1.3	-0.8	15.953056133543816	-15.953056133543816
4500	59.29495355555554	18.1	-18.2	1.2	-0.9	18.139735389470268	-18.139735389470268
5000	35.893624788	19.1	-19.1	1.5	-1.2	19.158809983921238	-19.158809983921238
6000	14.855928475000002	21.1	-21.	1.1	-1.1	21.128653530218152	-21.128653530218152
6500	9.877290795266271	22.1	-21.9	1.1	-1.	22.12735863134143	-22.12735863134143
7000	6.765356553061225	23.1	-22.6	1.1	-1.2	23.126175645791502	-23.126175645791502
10000	1.0230237548999996	28.3	-26.2	0.9	-1.3	28.314307337457507	-28.314307337457507
12500	0.2831355872639999	32.3	-29.1	1.	-1.6	32.315476168548095	-32.315476168548095
15000	0.093000826	35.8	-32.1	1.1	-2.	35.81689545451978	-35.81689545451978
30000	0.000499182667	71.2	-59.3	1.6	-3.2	71.21797525905943	-71.21797525905943
40000	0.000022888984837499995	185.9	-123.6	2.7	-4.4	185.91960628185507	-185.91960628185507
