mG(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)
200	3.93E+04	12.0	-12.4	3.2	-2.2
260	1.44E+04	12.7	-12.6	2.4	-1.2
300	8.03E+03	13.4	-12.9	3.0	-1.6
400	2.48E+03	14.8	-14.5	2.2	-0.6
500	9.37E+02	16.5	-16.6	2.4	-0.9
600	4.16E+02	18.1	-18.2	2.3	-1.0
700	2.06E+02	19.8	-20.0	1.7	-1.0
750	1.46E+02	20.8	-21.1	1.7	-0.9
800	1.06E+02	21.6	-21.8	2.1	-1.1
900	6.05E+01	23.0	-23.1	1.4	-1.0
1000	3.62E+01	24.6	-24.3	1.3	-1.2
1050	2.79E+01	25.4	-24.9	1.3	-1.3
1100	2.18E+01	26.1	-25.4	1.3	-1.4
1150	1.72E+01	26.9	-25.9	1.3	-1.4
1200	1.36E+01	27.6	-26.4	1.2	-1.5
1250	1.09E+01	28.2	-27.0	1.2	-1.5
1300	8.75E+00	28.9	-27.4	1.1	-1.5
1350	7.07E+00	29.6	-27.9	1.0	-1.5
1400	5.77E+00	30.3	-28.4	1.0	-1.5
1450	4.73E+00	31.0	-28.9	1.0	-1.6
1500	4.10E+00	31.7	-29.4	1.0	-1.7
1600	2.83E+00	33.2	-30.4	1.2	-2.0
1700	1.96E+00	34.7	-31.4	1.6	-2.3
1800	1.39E+00	36.2	-32.4	1.8	-2.6
1900	9.99E-01	37.5	-33.4	1.8	-2.7
2000	7.38E-01	38.8	-34.5	1.7	-2.7
2100	5.44E-01	40.1	-35.6	1.6	-2.7
2200	4.01E-01	41.5	-36.8	1.5	-2.8
2300	3.00E-01	42.8	-38.0	1.4	-2.8
2400	2.26E-01	44.2	-39.2	1.4	-2.9
2500	1.72E-01	45.6	-40.5	1.4	-3.0
2600	1.32E-01	47.0	-41.8	1.4	-3.1
2700	1.01E-01	48.4	-43.2	1.5	-3.2
2800	7.74E-02	49.9	-44.6	1.6	-3.3
2900	6.01E-02	51.4	-46.0	1.7	-3.4
3000	4.58E-02	53.1	-47.5	1.8	-3.5
3500	1.33E-02	63.4	-55.2	2.2	-4.2
4500	1.27E-03	102.4	-78.9	2.6	-5.1
5000	3.99E-04	147.1	-103.1	3.5	-5.8
6000	3.82E-05	352.6	-216.5	4.7	-6.6
6500	1.18E-05	600.8	-381.4	5.0	-6.9
