mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	8.618675522749998	2.8372877132073775	1.4665218695050652	3.1938828972356177
260	4.263203311390532	2.924797340972185	0.9868668522151292	3.0868018513923046
300	2.873784199	3.3531843714581235	1.8698748696735583	3.8393068980256997
400	1.2715919326249998	4.533516883630873	3.8542056262936435	5.950434970984874
500	0.65761265456	5.643050660185617	5.401231820389361	7.811358776231438
600	0.3759504605083333	6.678356607682151	6.681485703798155	9.44683535314504
700	0.23047416441632654	7.616676736900302	7.760042596210109	10.873455090698336
750	0.1841300307502222	8.064918785415648	8.238347897439388	11.528802673937749
800	0.14877725543593748	8.450253019457875	8.70463055232019	12.131668028150253
900	0.09994736508888886	9.35791761714788	9.546714485184706	13.368260155718174
1000	0.069287522327	10.159790469413778	10.321748585261709	14.483087938687078
1500	0.015216669323555554	14.507561399400782	13.589356619933621	19.878127454594846
1800	0.0072116658740740735	17.40821330020228	15.299849546042763	23.176092993360303
2000	0.0045837011997499994	19.463745423437658	16.404589493341764	25.45482159343195
2500	0.001646160387168	24.9539970269364	19.118380788596017	31.43587841301891
3000	0.0006580403344888889	31.02660031168191	21.98979831477736	38.02895156095479
3500	0.00028292176858775507	37.321231054975954	24.959080562893636	44.89799538959303
4500	0.00006254811716098764	54.37520395404369	32.2050227331289	63.19672692699518
5000	0.00003165108553	67.06920651506255	36.32184392534301	76.27289694706164
6000	8.13932439361111e-6	157.84369493805647	51.48720684144266	166.02880623564013
6500	2.206101874059171e-6	279.29861804784747	58.26454470511627	285.3111901295354
