mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphaS(%)	full(%)
200	19.352569753249995	2.0683376265822813	8.230346369864026	0.0280127635510817	8.486260772888727
260	10.450137379733727	1.975384742674342	7.254539575953083	0.024216598127088665	7.518676036421579
300	7.500175972444445	1.8980397445669341	6.737702977792622	0.022600319477576354	6.999942591829683
400	3.7810923362499995	0.9774766725076522	5.72598019198335	0.04568187488174243	5.808813114938569
500	2.2223031446399997	1.7276509242684566	4.957526972782506	0.016337167901691152	5.249938228397713
600	1.4293987364166667	1.6418725567307364	4.310212057896125	0.0140123489526074	4.6123392629530935
700	0.9825199283469388	1.6458760118212825	3.8284048428943964	0.012244856864260968	4.16720427713665
750	0.825325773991111	1.5970310147491236	3.5821074911442605	0.011637229619901447	3.9219895640073346
800	0.7066077890468748	1.5288506135083064	3.3376271518170886	0.010682573480206625	3.6711223356041103
900	0.5258366015925925	1.54639527059954	2.9842418425017043	0.00977315689917335	3.3611066194737993
1000	0.40077781823999997	1.5338289175962774	2.662626534643089	0.008197001224749713	3.072818122089238
1500	0.13824884091555556	1.4245519386088517	1.3907153004493074	0.004999791603640782	1.990838334144198
1800	0.08288743438888888	1.4608969814978312	0.992687417927564	0.0032773599019484552	1.7662526150755358
2000	0.062346492224999994	1.449565533296702	0.7494555552391728	0.0027091383406186846	1.6318467650489152
2500	0.0324971290064	1.4809136739264164	0.7299275338322688	0.0016855657628491397	1.6510298344574803
3000	0.019040069212222222	1.4958027262861198	1.038450106727281	0.0009368183356383822	1.8209350400623547
3500	0.011914906828244896	1.6021524745938982	1.5077982793466373	0.0005079109452146836	2.2000791356330875
4500	0.005316393286765432	1.8491421570193085	2.33796157779998	0.0007176731694491594	2.9808373078943764
5000	0.00371910596552	1.999207694410174	2.7320632524526425	0.0009310166014599343	3.3854100225513237
6000	0.001973492685583333	2.308695660682687	3.3265534228956595	0.0024508869010025102	4.049201566856594
6500	0.0014983977556213015	2.3853824867432247	4.0135724595115905	0.0016203437974214448	4.668919949604106
7000	0.001130789577163265	2.609508882720505	3.9189512324827045	0.004407781671259672	4.7082603338786315
