mG(GeV)	XS(pb)	scale(%)	pdf(%)	full(%)
200	12.803309298	1.7178756228081293	1.0861802772766038	2.032457687181482
260	6.266130938653845	1.8305051572864124	1.00559694849225	2.0885340202326317
300	4.2504457951	1.805329839058694	1.1076606191580736	2.118048128591354
400	1.9073686460062502	2.002873474680898	1.836355564847278	2.717297171110642
500	1.000353263328	2.1660659718538486	2.520498103916152	3.323364633360004
600	0.57915017535	2.386425862289101	3.151370195656293	3.9529941191801767
700	0.3592024435102041	2.572761298584353	3.6951208738166144	4.502556937075722
750	0.28846567876800006	2.686522059964972	3.90790339032956	4.742268411512333
800	0.23390454936093755	2.7253841329438195	4.204470486339273	5.010518011403605
900	0.1575154631388889	3.041819948679161	4.594597817477813	5.510262943322612
1000	0.10848487677299999	3.265892421800688	4.992374733019327	5.965723659847559
1500	0.0223944815496	4.76576973717988	6.553700206770071	8.103304732517325
1800	0.009909086431666667	4.878313076294759	7.553647664281238	8.991970390656869
2000	0.005862649585725	6.007101895140067	7.856970419813603	9.890260732479266
2500	0.0017033909244911995	8.180013869563666	8.944927460466525	12.121235670477745
3000	0.0005140569316000001	10.955671046828913	9.988991413273288	14.82587864312847
3500	0.00016115720549877554	21.76834648089905	11.075345168145361	24.423844478419664
4500	0.000014915011544444439	66.47477973579133	13.614475512691811	67.85462610911402
5000	4.331352406427999e-6	111.25930660967607	16.13820145214006	112.42364010018429
6000	3.1786186099e-7	456.10311970474083	42.75701234993147	458.1028464324243
6500	9.608219770153845e-8	807.7993005432271	62.93261428707751	810.2470141254043
