mG(GeV)	XS(pb)	scale(%)	pdf(%)	alphsS(%)	full(%)
200	44241.255711000005	3.3635842235170825	18.90713617447628	124.35952373847341	125.83355928212796
260	9498.025951775146	4.234558224777848	19.251594110228538	40.70913435045451	45.23039883427268
300	4324.2890377	3.2830655129177972	18.01883501585406	26.777342067145398	32.44199412292026
350	1823.1490838204084	2.998484447403411	17.388037371085545	15.785591246571446	23.675296061579054
400	873.6100067250002	2.919211792718506	16.853685610271636	10.315090294306534	19.97422348729284
450	461.41905083999995	2.8502359177794525	16.37578552908666	7.093187660632026	18.07217495683866
500	264.692379294	2.7494461418692233	15.980319912140528	5.1439002064899615	17.0114604874397
550	161.95702151900824	2.8036403581749996	15.51594890940586	3.7834887831956756	16.214803643271416
600	103.34826806000001	2.717561719634272	15.325533557008338	3.0898724344962702	15.868346863125666
650	69.37101614343196	2.5723509678892524	15.160911934247846	2.4851577885282397	15.577106580296038
700	48.03780352959184	2.535128941588179	15.121760737095357	2.022634454134986	15.465625647722456
750	34.2989393312	2.481684319976515	14.955332073571803	1.680338447221118	15.252680151108928
800	25.259777039531254	2.5043234071237976	15.105877588585248	1.4378461123859732	15.379420499215621
900	14.348840900777777	2.435249982263239	15.459059945330445	1.0270028124762127	15.683357792458452
1000	8.804248842869999	2.462179162443491	16.05316013985777	0.7961343316034032	16.260384576566658
1100	5.679253754702478	2.526748795181711	16.638766094273866	0.6207455097700564	16.840971515972868
1200	3.7827334194375	2.665205461349982	17.527648724401647	0.48685758569458804	17.735806163407876
1300	2.602413020928994	2.814770618578007	18.364286352790405	0.39087963210330984	18.58286129123519
1400	1.8343519323061226	2.961939893886694	19.12220014260057	0.31376934770794446	19.352779578970868
1500	1.32523536648	3.1542934979455386	19.958792728550208	0.2558643041202888	20.20812809724179
1600	0.9668615792343751	3.3397576721730813	21.09998877855253	0.20739863134987477	21.363672950973747
1700	0.7137171060103804	3.511110034838194	21.892174576117213	0.16982532946741077	22.17259664519388
1800	0.5366372583333333	3.6731114143769665	22.93330087642427	0.14010670463173935	23.226012710745497
1900	0.40443498224376717	3.8533448142171913	23.97306067969441	0.11533312234379192	24.281046236492248
2000	0.30856661912699995	4.046491644253779	24.770647477614624	0.09530462387742938	25.099166401667684
2500	0.08609548239791998	4.96113243244563	30.952694077158032	0.037998566686376314	31.347783805836542
3000	0.026063701520000003	6.348293637193477	38.68865391768447	0.01598322208464649	39.20603307566046
3500	0.008276711880710205	8.778794975690808	48.51870914799927	0.007344345906896865	49.30651511263778
4000	0.0026521765426687502	13.317829552307497	63.3147005722488	0.004174395585933973	64.70020023124671
4500	0.0008596105790222219	20.369121037774647	83.95333147239018	0.002766666641385808	86.38902108959782
5000	0.0002745505842011999	32.7688059379268	119.05216364123928	0.0026255517086841143	123.47960283849086
6500	9.056266386390532e-6	142.49933718398015	351.76183226396347	0.002189570799275424	379.5292449079104
