mG(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	7.1391189276	2.502167760318732	28.952774868795316	0.0005283605481174613	29.060695387121914
260	3.5668276632692297	2.5300830951141893	28.919242122764256	0.0003513225688113586	29.02970694903193
300	2.4207645603000003	2.5483297379071166	28.944098409355124	0.0003069376526265272	29.056063347909777
350	1.5910415822938777	2.5900067969137126	28.993409881243586	0.0002659529502610999	29.108863801608326
400	1.099364377725	2.620533341998934	29.049962640373124	0.00026887703023207183	29.167919440301137
450	0.7901777856888889	2.6746042124532354	29.1229292205272	0.00025943218758766245	29.24548707312659
500	0.58387209426	2.7365114425211714	29.19475334175482	0.00026459729570840583	29.32272357116517
550	0.44231752445950406	2.7993717576948693	29.268449512788873	0.0002810900946235306	29.402017264117486
600	0.341046790885	2.874608327438391	29.344376612580724	0.00029351033241360627	29.48484037439072
650	0.2671968084028402	2.954448130993426	29.4164504057096	0.00031221881132310436	29.56444348077237
700	0.21237750172469388	3.0484331714079	29.485771397166182	0.00033831908871666825	29.64293608603816
750	0.1711595416288	3.142385997829024	29.552634614276453	0.00035451134160288634	29.719232872501284
800	0.13914299695781251	3.249694126753367	29.62507746071858	0.0003658441433294356	29.8027805180133
900	0.09392121798111111	3.4391166793828116	29.750768582180577	0.00039312145659760615	29.94888570413624
1000	0.0652200417216	3.6578968445460847	29.866178673507125	0.0004110035302500337	30.089347584354766
1100	0.04639109938735537	3.862613695121861	29.97719436105093	0.00042664975646009576	30.225022191885927
1200	0.03346031098375	4.11080222658392	30.072473381705105	0.00043112391291244556	30.352139140846685
1300	0.024583470632840235	4.359604321183789	30.191205472421412	0.000428298161712131	30.50434457415357
1400	0.018218706442806123	4.586527219842843	30.26756932902443	0.0004277374953323577	30.613101528734703
1500	0.013661263921200002	4.819934990028585	30.365940592363145	0.0004153068587406049	30.74609115870681
1600	0.01028699587792969	5.050408767605704	30.44280451177428	0.0004000022057901965	30.858888110591646
1700	0.007846150974290655	5.287981740885832	30.53354274091154	0.000393070675430987	30.98806194903964
1800	0.006026106360833333	5.54607428983029	30.636010683147568	0.000368208072161252	31.13397004466063
1900	0.0046321866887534605	5.7898837287037805	30.73799234881455	0.000349043532495423	31.278537807089418
2000	0.0035888343984	6.15076815664602	30.845895061965745	0.0003361451589170076	31.453158684043274
2500	0.0010473566435711997	7.997031035649535	31.56070042424128	0.00023326812307394526	32.5581067740165
3000	0.00032206596773000004	11.787828423253131	32.603109490582945	0.00016120652040244615	34.66865511405052
3500	0.00010014721471469389	19.626646764954433	34.464544366926916	0.00011892282850240233	39.66119112772979
4000	0.0000308035898325	34.0245008690067	39.848668224340024	0.00010183189140683582	52.39831121943658
4500	9.20587566444444e-6	68.51795102075779	57.689722783704255	0.00012270283984278189	89.57016091845915
5000	2.642398143911999e-6	133.8007608691243	107.10389881720444	0.00015679952695762004	171.38812313292638
6500	5.756888791384615e-8	859.4520975834905	810.6657804002344	0.0002069677866432184	1181.4554225837833
