mR(GeV)	Γ(GeV)	gluglu	ZZ	WW	γγ	tt	 hh
200	-	0.128548	0.20470995833333333	0.484084375	-	0.	0.
260	-	0.0932578	0.19862	0.464304	-	0.	0.242876
300	-	0.0730213	0.184855	0.417246	-	0.	0.324309
400	-	0.0600798	0.185192	0.397452	-	0.0728923	0.284102
500	-	0.0506227	0.186595	0.390587	-	0.121061	0.250955
600	-	0.0461997	0.19463	0.401811	-	0.116332	0.240894
700	-	0.0438734	0.202593	0.414754	-	0.100982	0.237688
750	-	0.0431203	0.206089	0.420647	-	0.0929629	0.23708
800	-	0.0425402	0.209229	0.426006	-	0.0853359	0.236795
900	-	0.0417303	0.214519	0.435142	-	0.0717938	0.236731
1000	-	0.0412171	0.218696	0.442426	-	0.0606264	0.236958
1500	-	0.0412171	0.218696	0.442426	-	0.0481264	0.236958
1800	-	0.0412171	0.218696	0.442426	-	0.0406264	0.236958
2000	-	0.0412171	0.218696	0.442426	-	0.035626399999999996	0.236958
2500	-	0.0412171	0.218696	0.442426	-	0.0231264	0.236958
3000	-	0.0412171	0.218696	0.442426	-	0.0106264	0.236958
