mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	648.2679498995342	49.3	-39.1	8.	49.944869606397006	-39.91002380355091
15.	839.9056795785477	37.1	-30.7	6.	37.58204358466953	-31.280824797309933
20.	821.6740949222416	28.7	-24.5	4.9	29.11528808031959	-24.985195616604646
25.	770.7713289774532	23.2	-20.	4.4	23.613555429032708	-20.478281177872326
30.	707.9945795959258	19.9	-16.9	4.2	20.338387350033432	-17.414074767267998
35.	638.6108089042875	17.5	-14.7	4.	17.95132307101624	-15.23450031999737
40.	565.2648487007347	15.8	-13.3	3.9	16.27421273057471	-13.860014430006919
45.	493.4752069077917	14.4	-12.5	3.8	14.892951352905172	-13.064838307457157
50.	427.3537709508826	13.2	-11.9	3.7	13.708756325794107	-12.461942063739505
55.	369.3144483764295	12.3	-11.4	3.7	12.844454056128662	-11.985407794480754
60.	319.8455166409867	11.6	-10.9	3.6	12.145781160551183	-11.479111463872107
65.	278.16845873700174	10.9	-10.5	3.5	11.448143954370945	-11.067971810589327
70.	243.20450936208587	10.4	-10.2	3.5	10.973149046650192	-10.783784122468328
75.	213.81672043891467	10.	-9.9	3.4	10.562196741208716	-10.467568963231148
80.	189.21172934266198	9.6	-9.6	3.4	10.184301645179211	-10.184301645179211
85.	168.43504752689634	9.3	-9.4	3.3	9.868130522039117	-9.962429422585638
90.	150.71953885650248	9.	-9.2	3.3	9.585927185202275	-9.773944955850734
95.	135.52384693272984	8.7	-9.	3.3	9.304837451562493	-9.585927185202275
100.	122.43131865356153	8.5	-8.8	3.2	9.082400563727631	-9.3637599285757
105.	111.08342060976557	8.3	-8.6	3.2	8.895504482602435	-9.176055797563569
110.	101.15672110792393	8.1	-8.5	3.2	8.709190547921201	-9.082400563727631
115.	92.45321575491619	7.9	-8.4	3.1	8.48645980371085	-8.95377015563835
120.	84.79679020590812	7.8	-8.2	3.1	8.393449827097319	-8.766413177577247
125.	78.00115660166912	7.6	-8.1	3.1	8.207923001588162	-8.672946442818612
130.	71.96950959060938	7.5	-8.	3.1	8.115417426109392	-8.579627031520658
135.	66.56093627926008	7.4	-7.9	3.1	8.023091673413685	-8.48645980371085
140.	61.72076311415457	7.3	-7.8	3.	7.892401408950257	-8.357032966310472
145.	57.36546349817374	7.2	-7.7	3.	7.8	-8.263776376451629
150.	53.43106398161217	7.1	-7.6	3.	7.707788269017254	-8.170679286326198
160.	46.61463703430176	6.9	-7.5	3.	7.523961722390672	-8.077747210701755
170.	40.93477280265832	6.7	-7.3	3.	7.340980860893182	-7.892401408950257
180.	36.17265987418994	6.5	-7.2	2.9	7.117583859709698	-7.762087348130012
190.	32.14293856857227	6.4	-7.1	2.9	7.026378868236469	-7.669419795525604
200.	28.717647812234542	6.3	-7.	2.9	6.93541635375988	-7.576938695805846
210.	25.765605319104658	6.2	-6.9	2.9	6.844705983459042	-7.484650960465692
220.	23.20601480196974	6.1	-6.8	2.9	6.754257916307312	-7.392563831310487
230.	20.96425860616009	6.	-6.7	2.9	6.664082832618454	-7.3006848993775915
240.	19.021361531126434	5.9	-6.6	2.8	6.5306967469022785	-7.169379331573968
250.	17.309849384500932	5.8	-6.5	2.8	6.440496875241847	-7.077428911688198
260.	15.79120678550113	5.8	-6.5	2.8	6.440496875241847	-7.077428911688198
270.	14.451932780501064	5.7	-6.4	2.8	6.350590523722971	-6.985699678629192
280.	13.256011297318501	5.7	-6.3	2.8	6.350590523722971	-6.894200461257273
290.	12.190425860349396	5.7	-6.3	2.8	6.350590523722971	-6.894200461257273
300.	11.230721157766702	5.7	-6.2	2.8	6.350590523722971	-6.802940540677979
310.	10.380170043668285	5.7	-6.1	2.8	6.350590523722971	-6.711929677819933
320.	9.616462135439484	5.7	-6.	2.8	6.350590523722971	-6.6211781428987395
330.	8.942734295861264	5.7	-6.	2.8	6.350590523722971	-6.6211781428987395
340.	8.37890571404105	5.7	-5.9	2.8	6.350590523722971	-6.5306967469022785
350.	8.008818842114067	5.7	-5.8	2.8	6.350590523722971	-6.440496875241847
