mR(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)
200	1.83E+01	1.8	11.9	2.3
260	1.03E+01	1.9	11.4	2.8
300	7.20E+00	2.1	10.9	3.2
400	3.37E+00	2.6	10.3	3.9
500	1.96E+00	3.1	10.0	4.3
600	1.24E+00	3.6	9.8	4.5
700	8.04E-01	4.1	9.7	4.8
750	6.56E-01	4.4	9.6	4.8
800	5.43E-01	4.6	9.5	4.9
900	3.74E-01	5.0	9.5	5.0
1000	2.63E-01	5.5	9.5	5.1
1050	2.21E-01	5.7	9.4	5.2
1100	1.87E-01	5.9	9.4	5.3
1150	1.58E-01	6.2	9.3	5.3
1200	1.35E-01	6.4	9.3	5.4
1250	1.15E-01	6.7	9.3	5.5
1300	9.86E-02	6.9	9.2	5.5
1350	8.48E-02	7.1	9.2	5.6
1400	7.31E-02	7.4	9.2	5.7
1450	6.32E-02	7.6	9.2	5.8
1500	5.42E-02	7.9	9.2	5.9
1550	4.71E-02	8.1	9.2	6.1
1600	4.10E-02	8.4	9.2	6.2
1650	3.57E-02	8.7	9.3	6.3
1700	3.12E-02	8.9	9.3	6.5
1750	2.74E-02	9.2	9.4	6.6
1800	2.40E-02	9.5	9.4	6.8
1850	2.11E-02	9.8	9.4	6.9
1900	1.86E-02	10.1	9.4	7.1
1950	1.64E-02	10.3	9.5	7.3
2000	1.43E-02	10.6	9.5	7.4
2050	1.26E-02	10.9	9.5	7.6
2100	1.12E-02	11.2	9.5	7.8
2150	9.91E-03	11.5	9.5	7.9
2200	8.79E-03	11.7	9.5	8.1
2250	7.82E-03	12.0	9.5	8.3
2300	6.96E-03	12.3	9.5	8.5
2350	6.19E-03	12.6	9.5	8.6
2400	5.52E-03	12.9	9.5	8.8
2450	4.92E-03	13.3	9.5	9.0
2500	4.29E-03	13.6	9.5	9.2
2550	3.83E-03	14.0	9.5	9.4
2600	3.43E-03	14.3	9.6	9.6
2650	3.07E-03	14.7	9.6	9.7
2700	2.74E-03	15.1	9.6	9.9
2750	2.46E-03	15.5	9.7	10.1
2800	2.21E-03	16.0	9.7	10.3
2850	1.98E-03	16.4	9.8	10.5
2900	1.77E-03	16.8	9.8	10.6
2950	1.59E-03	17.2	9.8	10.8
3000	1.38E-03	17.7	9.9	11.0
3500	4.70E-04	22.0	10.0	12.3
4500	5.34E-05	34.0	10.8	13.9
5000	1.83E-05	41.2	11.2	13.7
6000	1.86E-06	60.8	11.8	13.0
6500	5.35E-07	74.9	12.2	14.4
