mR(GeV)	XS(pb)	pdf(%)	scale(%)	alphsS(%)	full(%)
200	59.955682242132276	1.8936166829053924	12.077450703740455	2.0868245182970555	12.401831970044755
260	34.61357984076892	2.075240086492041	11.443466867155573	2.7446915851304614	11.949597786275355
300	24.981001155382344	2.1848976328046743	10.91192615758894	3.0371749086189346	11.535525196541926
400	12.205426655689205	2.5578272656694074	10.170171797183913	3.6928268421919492	11.118086381731807
500	7.248783936656757	2.951229005588528	9.997882553363699	4.088470246614899	11.19745494082189
600	4.601228660653809	3.3269799686131836	9.819281537233008	4.4205154660568295	11.270671790299193
700	3.016664685599832	3.729886318117638	9.587858262461998	4.648229474968199	11.289159191857694
750	2.4804379579071396	3.915450232320626	9.540388217952886	4.736302058261149	11.348229600167715
800	2.0614650606261744	4.097035027160957	9.482028028524887	4.79426858698608	11.387693481635202
900	1.4244873389588626	4.508094689289499	9.307952252725746	4.935980294771736	11.459703064957544
1000	1.0095761730423927	4.875242991716734	9.229834067020006	5.032506852111966	11.588095458251976
1500	0.22506851970539513	6.9478632047614886	9.098143277561721	5.730272868884219	12.801759307337047
1800	0.10430091409986295	8.300060152922898	9.155229597207693	6.377306932171546	13.906087560016637
2000	0.06292725207307208	9.240226880515456	9.210718313259886	6.927782507721128	14.772044378619645
2500	0.020477973010259654	11.936348728749618	9.23541462224506	8.558349673775258	17.349773870506485
3000	0.007137771218616497	14.880239432080892	9.53264384719549	10.165422651649896	20.386972358842446
3500	0.0025446903804997026	18.51586288431092	9.933764035619095	11.666182857658868	24.033656998765203
4500	0.000355608644976606	27.41600252270529	10.394546577785917	13.415242012026512	32.243642956774984
5000	0.00013303770493803375	33.04326116969411	10.621440077604573	13.622806205758668	37.28609589338117
6000	0.000016781866905759063	47.1917965195933	11.361543745420978	13.06479202401974	50.26767475880203
6500	5.631021473077975e-6	56.3256718004037	11.835706002977593	12.828850057470612	58.96816627768559
7000	1.76481918239505e-6	68.62391940980133	12.191526671700961	14.348945720824444	71.16015655582041
