mR(GeV)	PDF(%)	alphaS(%)	scale(%)
200	99.92642376145884	99.91378649239078	99.92534629408243
260	99.59504986985921	99.73769985773366	99.88956593126677
300	99.78422120824455	99.90531475440928	99.95214731377797
400	99.80730563643863	99.9211402652193	99.99826932245878
500	99.87485792755905	99.96625420154626	99.99598806589117
600	99.83564647410007	99.89751390357459	99.88692411334404
700	99.90933289497632	99.93080567178897	99.86958558724479
750	99.85735965094275	99.86436336138163	99.87653032219303
800	99.87709179001088	99.85279001621288	99.95634336304242
900	99.92092185913518	99.86017590256034	99.86844898154818
1000	99.90719702753654	99.7804145016318	99.86781000856253
1500	99.90765567292176	99.62757300047062	99.99618644521733
1800	99.92557338664973	99.62788338645083	99.8361046712345
2000	99.92921331354822	99.79267190158477	99.99867938221524
2500	99.95823869258045	99.91315736629053	99.993602147964
3000	99.91239539555198	99.95983456131306	99.91115851759396
3500	99.9180725896085	99.9865703905346	99.96308146672405
4500	99.83213874270609	99.97610910283633	99.80545989028153
5000	99.77419078155003	99.92716363829021	99.90205725163781
6000	99.33625662758494	98.06390537640095	99.98889191693154
6500	99.0582522025411	93.83873034597553	99.9935119086293
