mR(GeV)	ratio	PDF(%)	alphaS(%)	scale(%)	full(%)
200	2.9194555762541166	0.9994093213236573	1.7081760758182267	0.7695148146930392	2.1234023517879113
260	3.167302369207505	1.216882940573024	1.69726602774151	1.9693635267061367	2.8705241264102845
300	3.315091165569475	1.2871562069397684	1.6941654396315504	1.9304314481324987	2.8728963110151526
400	3.7220684153787165	1.4755752307869627	1.6655687956747545	1.3555231498145743	2.6055488259713493
500	4.2449993814181335	1.7411664393169213	1.7922721211866763	1.5376710448944346	2.933995938663395
600	4.756818647360787	2.026573350328196	2.039348088892889	2.0666480244611543	3.5407589905189427
700	5.267339244603497	2.2956148536767427	2.321653916450417	1.5857904183255773	3.6296908566769237
750	5.516334343137613	2.4540863363825025	2.504968373734159	1.729192136291079	3.909924774728864
800	5.834312599436254	2.5813428603654303	2.7008775252719235	1.9279267234881117	4.204161250525267
900	6.4315982116384145	2.965679849125448	3.127267303600768	1.8040371660727101	4.672216588756434
1000	7.041273883149096	3.2803214435599024	3.5417565973806644	1.6845553257598118	5.112951712437164
1500	11.584799583806479	5.65729787683682	5.454274380781614	2.4431169228146676	8.229395396179264
1800	15.713517515202184	7.470541748615108	6.139258140171202	2.360581552554339	9.95348329961524
2000	19.196693310181473	8.985047242831929	6.309383344397158	2.1711822250320227	11.191667632518977
2500	34.914254949129756	14.0501638856456	6.038468991760394	3.285677477270136	15.641799431733931
3000	67.29652713876017	21.44494238758644	4.773439192094572	3.0911965360870726	22.186184253995613
3500	147.91404344983314	33.57224890848659	4.174068540094389	3.881376851354384	34.05266261561663
4500	1298.2739349040396	107.94895394063677	30.846490818716273	3.851736006239441	112.33574018525283
