mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	501.4633315124625	49.3	-39.1	8.	49.944869606397006	-39.91002380355091
15.	650.8237991138308	37.1	-30.7	6.	37.58204358466953	-31.280824797309933
20.	632.6300222609251	28.7	-24.5	4.9	29.11528808031959	-24.985195616604646
25.	588.6283090488308	23.2	-20.	4.4	23.613555429032708	-20.478281177872326
30.	536.456031556488	19.9	-16.9	4.2	20.338387350033432	-17.414074767267998
35.	480.42858703991897	17.5	-14.7	4.	17.95132307101624	-15.23450031999737
40.	422.5144315157973	15.8	-13.3	3.9	16.27421273057471	-13.860014430006919
45.	366.71530794542457	14.4	-12.5	3.8	14.892951352905172	-13.064838307457157
50.	315.91101724829434	13.2	-11.9	3.7	13.708756325794107	-12.461942063739505
55.	271.70130637993776	12.3	-11.4	3.7	12.844454056128662	-11.985407794480754
60.	234.2765889937952	11.6	-10.9	3.6	12.145781160551183	-11.479111463872107
65.	202.92707161938864	10.9	-10.5	3.5	11.448143954370945	-11.067971810589327
70.	176.75716763054413	10.4	-10.2	3.5	10.973149046650192	-10.783784122468328
75.	154.85786351782338	10.	-9.9	3.4	10.562196741208716	-10.467568963231148
80.	136.59179865436874	9.6	-9.6	3.4	10.184301645179211	-10.184301645179211
85.	121.22186925951497	9.3	-9.4	3.3	9.868130522039117	-9.962429422585638
90.	108.16008941655771	9.	-9.2	3.3	9.585927185202275	-9.773944955850734
95.	96.99084593366406	8.7	-9.	3.3	9.304837451562493	-9.585927185202275
100.	87.3949743786712	8.5	-8.8	3.2	9.082400563727631	-9.3637599285757
105.	79.1001371037382	8.3	-8.6	3.2	8.895504482602435	-9.176055797563569
110.	71.86320392501477	8.1	-8.5	3.2	8.709190547921201	-9.082400563727631
115.	65.53341458945613	7.9	-8.4	3.1	8.48645980371085	-8.95377015563835
120.	59.97774586891648	7.8	-8.2	3.1	8.393449827097319	-8.766413177577247
125.	55.05783382424987	7.6	-8.1	3.1	8.207923001588162	-8.672946442818612
130.	50.700026140083324	7.5	-8.	3.1	8.115417426109392	-8.579627031520658
135.	46.800661971565056	7.4	-7.9	3.1	8.023091673413685	-8.48645980371085
140.	43.31772412364681	7.3	-7.8	3.	7.892401408950257	-8.357032966310472
145.	40.18955360025739	7.2	-7.7	3.	7.8	-8.263776376451629
150.	37.36881608807167	7.1	-7.6	3.	7.707788269017254	-8.170679286326198
160.	32.49449366273865	6.9	-7.5	3.	7.523961722390672	-8.077747210701755
170.	28.446551253200315	6.7	-7.3	3.	7.340980860893182	-7.892401408950257
180.	25.063077081792873	6.5	-7.2	2.9	7.117583859709698	-7.762087348130012
190.	22.208226364657566	6.4	-7.1	2.9	7.026378868236469	-7.669419795525604
200.	19.787962817279787	6.3	-7.	2.9	6.93541635375988	-7.576938695805846
210.	17.70756800012255	6.2	-6.9	2.9	6.844705983459042	-7.484650960465692
220.	15.908214844789596	6.1	-6.8	2.9	6.754257916307312	-7.392563831310487
230.	14.336155361245732	6.	-6.7	2.9	6.664082832618454	-7.3006848993775915
240.	12.976316116064256	5.9	-6.6	2.8	6.5306967469022785	-7.169379331573968
250.	11.78090055109088	5.8	-6.5	2.8	6.440496875241847	-7.077428911688198
260.	10.722326249823391	5.8	-6.5	2.8	6.440496875241847	-7.077428911688198
270.	9.790283478144943	5.7	-6.4	2.8	6.350590523722971	-6.985699678629192
280.	8.959388484159241	5.7	-6.3	2.8	6.350590523722971	-6.894200461257273
290.	8.220029455457553	5.7	-6.3	2.8	6.350590523722971	-6.894200461257273
300.	7.554999401369391	5.7	-6.2	2.8	6.350590523722971	-6.802940540677979
310.	6.9658521281968415	5.7	-6.1	2.8	6.350590523722971	-6.711929677819933
320.	6.436958008327824	5.7	-6.	2.8	6.350590523722971	-6.6211781428987395
330.	5.969728351379769	5.7	-6.	2.8	6.350590523722971	-6.6211781428987395
340.	5.576435472250533	5.7	-5.9	2.8	6.350590523722971	-6.5306967469022785
350.	5.310002940861182	5.7	-5.8	2.8	6.350590523722971	-6.440496875241847
360.	4.708877239635257	5.7	-5.8	2.8	6.350590523722971	-6.440496875241847
370.	4.242104121411861	5.7	-5.7	2.9	6.395310782127793	-6.395310782127793
380.	3.8683597954646767	5.7	-5.6	2.9	6.395310782127793	-6.3063460101710245
390.	3.5568204324383954	5.7	-5.6	2.9	6.395310782127793	-6.3063460101710245
400.	3.2933462311712938	5.7	-5.5	2.9	6.395310782127793	-6.217716622683925
410.	3.066598812904475	5.7	-5.5	2.9	6.395310782127793	-6.217716622683925
420.	2.869358216598317	5.7	-5.4	2.9	6.395310782127793	-6.129437168288782
430.	2.69313097241137	5.7	-5.4	2.9	6.395310782127793	-6.129437168288782
440.	2.534878501618406	5.7	-5.3	2.9	6.395310782127793	-6.041522986797286
450.	2.39218164356625	5.6	-5.3	3.	6.352952069707436	-6.090155991434045
460.	2.2615662130791057	5.6	-5.2	3.	6.352952069707436	-6.003332407921454
470.	2.1421237562613245	5.6	-5.2	3.	6.352952069707436	-6.003332407921454
480.	2.032144532066595	5.6	-5.2	3.	6.352952069707436	-6.003332407921454
490.	1.930314604453438	5.6	-5.1	3.	6.352952069707436	-5.9169248769948055
500.	1.8351675255609154	5.6	-5.1	3.	6.352952069707436	-5.9169248769948055
550.	1.442412230194921	5.5	-5.	3.1	6.313477647065839	-5.883026432033091
600.	1.1496489724197207	5.4	-4.9	3.2	6.276941930590087	-5.852349955359813
650.	0.9258868580849275	5.4	-4.8	3.4	6.381222453417527	-5.882176467941097
700.	0.751630685795181	5.4	-4.8	3.5	6.435060217278468	-5.940538696111658
750.	0.6142196351573064	5.4	-4.7	3.6	6.489992295835181	-5.920304046246274
800.	0.5055495474134364	5.4	-4.7	3.8	6.603029607687671	-6.04400529450463
850.	0.4182983767237137	5.4	-4.7	4.	6.7201190465645775	-6.171709649683789
900.	0.34794974657541866	5.4	-4.7	4.1	6.7801179930735715	-6.236986451805071
950.	0.29124259574050865	5.4	-4.7	4.3	6.902897942168927	-6.370243323453194
1000.	0.24465474835200657	5.5	-4.7	4.5	7.106335201775948	-6.5069193939989765
1050.	0.2066938411142275	5.5	-4.7	4.7	7.234638899074369	-6.646803743153547
1100.	0.17516327324387493	5.6	-4.8	4.9	7.441102068914255	-6.859300255857007
1150.	0.1491057586308154	5.6	-4.8	5.1	7.5742986473996385	-7.003570517957251
1200.	0.1273866779886752	5.6	-4.8	5.3	7.710382610480494	-7.150524456289902
1250.	0.10917685953602015	5.7	-4.8	5.5	7.920858539325141	-7.3
1300.	0.09391316364217193	5.7	-4.8	5.7	8.061017305526642	-7.451845409024532
1350.	0.08100711904917328	5.7	-4.9	5.9	8.203657720797475	-7.669419795525605
1400.	0.07007878695515674	5.7	-4.9	6.1	8.348652585896719	-7.824321056807421
1450.	0.06080617597824298	5.8	-4.9	6.3	8.563293758829017	-7.981227975693966
1500.	0.052864451652754045	5.9	-5.	6.5	8.778382538941898	-8.200609733428363
1550.	0.046088693194162145	6.1	-5.	6.7	9.060905032059436	-8.360023923410745
