mR(GeV)	XS(pb)	pdf(%)	pdf(%)	scale(%)	scale(%)	full(%)	full(%)
200	14.466038628522012	13.	-13.5	16.5	-14.1	21.005951537600005	-21.005951537600005
260	8.073046561390974	13.6	-13.6	16.1	-13.3	21.07534104113146	-21.07534104113146
300	5.626659260308849	14.2	-14.1	15.5	-13.1	21.021179795625173	-21.021179795625173
400	2.5959541716130143	16.	-15.8	15.	-13.3	21.93171219946131	-21.93171219946131
500	1.529706315540061	18.	-18.2	15.3	-13.6	23.62392854713204	-23.62392854713204
600	0.9873083037862762	20.1	-20.3	15.4	-13.9	25.321334877924585	-25.321334877924585
700	0.6507723986646013	22.2	-22.6	15.3	-14.	26.961639416029584	-26.961639416029584
750	0.534022037458922	23.5	-23.7	15.4	-14.2	28.09644105576363	-28.09644105576363
800	0.44579883884180993	24.6	-24.8	14.9	-14.	28.760563276820573	-28.760563276820573
900	0.31017151089777784	26.7	-26.6	14.8	-14.1	30.52752856030111	-30.52752856030111
1000	0.21816442230151922	28.9	-28.4	15.2	-14.4	32.65348373451139	-32.65348373451139
1500	0.04698982846083017	41.3	-38.3	14.8	-14.6	43.871744893496086	-43.871744893496086
1800	0.02117246505402822	49.8	-44.7	15.6	-15.2	52.18620507375488	-52.18620507375488
2000	0.012827539589178389	55.9	-49.3	15.6	-15.4	58.03593714242926	-58.03593714242926
2500	0.004052479404272421	71.3	-61.5	15.6	-15.7	72.98664261356319	-72.98664261356319
3000	0.00135268071898838	91.5	-78.3	16.4	-16.4	92.95810884479094	-92.95810884479094
3500	0.0004870522700111406	113.1	-96.2	16.3	-16.6	114.26854335292806	-114.26854335292806
4500	0.00006385028367443975	173.	-144.	17.7	-17.8	173.90310520516877	-173.90310520516877
5000	0.000023940662239712844	209.	-174.4	18.6	-18.5	209.82602317157898	-209.82602317157898
6000	3.0149020506971955e-6	302.7	-277.1	19.4	-19.2	303.32103454920497	-303.32103454920497
6500	9.977901819036392e-7	361.8	-363.3	20.3	-19.7	362.3690522105882	-362.3690522105882
7000	3.12479255062243e-7	442.5	-510.7	21.2	-20.2	443.00755072571843	-443.00755072571843
