mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
10.	0.036807176000000004	0.9	-0.5	2.	2.193171219946131	-2.0615528128088303
15.	0.035018592	0.8	-0.5	2.	2.154065922853802	-2.0615528128088303
20.	0.033176216	0.8	-0.5	2.	2.154065922853802	-2.0615528128088303
25.	0.031380908	0.8	-0.4	2.	2.154065922853802	-2.039607805437114
30.	0.029673012000000002	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
35.	0.028032355999999998	0.7	-0.4	1.9	2.0248456731316584	-1.9416487838947598
40.	0.026479112000000003	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
45.	0.025026727999999998	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
50.	0.023661756	0.6	-0.3	1.9	1.9924858845171274	-1.9235384061671343
55.	0.022384196000000002	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
60.	0.021194048	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
65.	0.020077864	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
70.	0.019035644	0.5	-0.3	1.9	1.96468827043885	-1.9235384061671343
75.	0.018060664	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
80.	0.0171462	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
85.	0.016292252	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
90.	0.015492095999999999	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
95.	0.014739008000000001	0.4	-0.2	1.9	1.9416487838947598	-1.91049731745428
100.	0.014032988000000001	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
105.	0.013367312	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
110.	0.012748704	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
115.	0.012163716	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
120.	0.011612348	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
125.	0.0110946	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
130.	0.010603748	0.2	-0.2	1.9	1.91049731745428	-1.91049731745428
135.	0.010139792	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
140.	0.009702732	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
145.	0.009292568	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
150.	0.008895852	0.2	-0.1	1.9	1.91049731745428	-1.9026297590440446
160.	0.008176384	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
170.	0.007530880000000001	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
180.	0.0069458919999999995	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
190.	0.006420747599999999	0.2	-0.1	2.	2.009975124224178	-2.0024984394500787
200.	0.0059433436000000004	0.2	-0.1	2.	2.009975124224178	-2.0024984394500787
210.	0.005510318	0.2	-0.1	2.	2.009975124224178	-2.0024984394500787
220.	0.0051162916000000004	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
230.	0.0047565576	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
240.	0.0044290988	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
250.	0.0041285359999999995	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
260.	0.0038535244000000002	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
270.	0.0036013743999999998	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
280.	0.0033693964	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
290.	0.0031549008	0.3	-0.2	2.	2.0223748416156684	-2.009975124224178
300.	0.0029578876	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
310.	0.0027756672	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
320.	0.0026068948	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
330.	0.0024502256	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
340.	0.0023049871999999997	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
350.	0.0021705072	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
360.	0.0020454408	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
370.	0.0019284432	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
380.	0.0018201868	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
390.	0.0017186544	0.3	-0.3	2.2	2.220360331117452	-2.220360331117452
400.	0.001623846	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
410.	0.0015357615999999998	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
420.	0.0014530563999999998	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
430.	0.0013757304	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
440.	0.0013031112	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
450.	0.0012351988	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
460.	0.0011713208	0.3	-0.5	2.2	2.220360331117452	-2.2561028345356955
470.	0.0011108048	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
480.	0.0010549956	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
490.	0.0010018759999999999	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
500.	0.0009514459999999999	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
550.	0.0007416571999999999	0.3	-0.6	2.4	2.4186773244895647	-2.4738633753705965
600.	0.00058391216	0.3	-0.7	2.5	2.5179356624028344	-2.596150997149434
650.	0.00046341807999999995	0.3	-0.8	2.5	2.5179356624028344	-2.6248809496813377
700.	0.0003704924	0.3	-0.8	2.6	2.6172504656604803	-2.7202941017470885
750.	0.00029807492	0.3	-0.9	2.7	2.716615541441225	-2.8460498941515415
800.	0.00024125712000000002	0.3	-1.	2.8	2.8160255680657444	-2.973213749463701
850.	0.00019620632	0.4	-1.1	2.9	2.9274562336608896	-3.1016124838541645
900.	0.00016023292	0.4	-1.1	3.	3.026549190084311	-3.1953090617340916
950.	0.00013138695999999998	0.4	-1.2	3.1	3.125699921617557	-3.3241540277189325
1000.	0.00010812192	0.5	-1.3	3.2	3.23882694814033	-3.453983207834109
