MH(GeV) Cross_Section(fb) PDF(%) αs(%) scaleup(%) scaledo(%)
260 240.06 2.2 2.0 19.2 15.0
275 268.80 2.2 2.0 19.1 15.1
300 260.78 2.3 2.0 19.1 15.1
325 248.87 2.3 1.9 18.9 15.1
350 262.72 2.4 1.9 18.9 15.2
400 242.67 2.5 1.9 18.8 15.2
450 183.37 2.7 1.9 18.6 15.3
500 137.85 2.7 1.9 18.6 15.3
600 86.49 2.9 1.9 18.4 15.3
700 63.49 2.9 1.9 18.4 15.3
750 57.05 2.9 1.8 18.4 15.3
800 52.49 2.9 1.9 18.4 15.3
900 46.86 2.9 1.9 18.5 15.3
1000 43.81 2.8 1.9 18.4 15.3
1100 42.02 2.8 1.9 18.5 15.3
1200 40.91 2.7 1.9 18.5 15.2
1300 40.18 2.6 1.9 18.5 15.2
1400 39.70 2.6 1.9 18.5 15.2
1500 39.34 2.6 1.9 18.5 15.2
1600 39.08 2.6 1.9 18.5 15.2
1800 38.70 2.6 1.9 18.5 15.2
2000 38.44 2.7 1.9 18.5 15.2
2250 38.16 2.7 1.9 18.6 15.2
2500 37.88 2.7 1.9 18.5 15.2
2750 37.57 2.7 1.9 18.5 15.2
3000 37.22 2.7 1.9 18.5 15.2
